%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.dx,field.dy,field.dz,field.roll,field.pitch,field.yaw,field.dyaw,field.scale,field.ptamState,field.scaleAccuracy,field.droneState,field.batteryPercent
1618582122679480195,969,1618582122677904298,,-0.0349973924458,0.0,0.701216876507,-0.0383974313736,0.0,0.0367614552379,0.332755476236,0.226212978363,0.328366994858,-8.08720588684,1.0,0,0.512499988079,3,70.0
1618582122711781063,970,1618582122711278913,,-0.0368074886501,0.0,0.700393021107,-0.0372758246958,0.0,0.0,0.554640352726,0.185797646642,0.0987881943583,-8.49546337128,1.0,0,0.512499988079,3,70.0
1618582122745518910,971,1618582122745051769,,-0.0387960895896,0.0,0.700359046459,-0.0366752333939,0.0,0.0,0.6355073452,0.179771363735,0.306916564703,-8.03067684174,1.0,0,0.512499988079,3,70.0
1618582122778367365,972,1618582122777896664,,-0.0409205108881,0.0,0.700036406517,-0.0372018963099,0.0,0.0,0.569884955883,0.204278960824,-0.0435145869851,-8.68198108673,1.0,0,0.512499988079,3,70.0
1618582122811668043,973,1618582122811292940,,-0.0428059138358,0.0,0.698362231255,-0.0362340696156,0.0,0.0,0.593639016151,0.199511885643,0.054466817528,-8.23183059692,1.0,0,0.512499988079,3,70.0
1618582122845125620,974,1618582122844565360,,-0.044033344835,0.0,0.696691870689,-0.0320305563509,0.0,0.0,0.703239917755,0.179333508015,0.0468225739896,-8.15251064301,1.0,0,0.512499988079,3,70.0
1618582122878547310,975,1618582122878104731,,-0.0449417643249,0.0,0.696702063084,0.0,0.0,0.0,0.766700685024,0.182554811239,0.0863768830895,-7.94124174118,1.0,0,0.512499988079,3,70.0
1618582122912001578,976,1618582122911505231,,-0.046187531203,0.0,0.698622524738,0.0,0.0,0.0,0.73786097765,0.169193267822,0.314132064581,-7.56590747833,1.0,0,0.512499988079,3,70.0
1618582122945366814,977,1618582122944945461,,-0.0470254048705,0.0,0.700431406498,0.0,0.0,0.0,0.654960989952,0.13172377646,0.0,-8.3605632782,1.0,0,0.512499988079,3,70.0
1618582122978332708,978,1618582122977889436,,-0.0478517971933,0.0,0.701344490051,0.0,0.0,0.0,0.652456223965,0.153313413262,0.234413951635,-7.8182182312,1.0,0,0.512499988079,3,70.0
1618582123011547304,979,1618582123011177480,,-0.0487957634032,0.0,0.700163543224,0.0,0.0,0.0,0.756226718426,0.175685107708,-0.0457010827959,-8.37094306946,1.0,0,0.512499988079,3,70.0
1618582123045189748,980,1618582123044620909,,-0.0494288504124,0.0,0.699890732765,0.0,0.0,0.0,0.753704607487,0.160617306828,0.0,-8.07687568665,1.0,0,0.512499988079,3,70.0
1618582123078785675,981,1618582123078110187,,-0.0500319227576,0.0,0.699493288994,0.0,0.0,0.0,0.676432430744,0.156445890665,0.0,-8.13420772552,1.0,0,0.512499988079,3,70.0
1618582123112007211,982,1618582123111615952,,-0.0503420755267,0.0,0.698245584965,0.0,0.0,0.0,0.732830822468,0.15187099576,0.217967659235,-7.66530656815,1.0,0,0.512499988079,3,70.0
1618582123145164319,983,1618582123144706884,,-0.049942266196,0.0,0.698033154011,0.0,0.0,0.0,0.786265075207,0.130992516875,0.0,-8.2595872879,1.0,0,0.512499988079,3,70.0
1618582123179354636,984,1618582123178651833,,-0.0490968562663,0.0,0.696228802204,0.0,0.0,0.0,0.730494320393,0.0727446302772,0.150155380368,-7.98131132126,1.0,0,0.512499988079,3,70.0
1618582123211516633,985,1618582123211229944,,-0.0483117625117,0.0,0.694417119026,0.0,0.0,0.0,0.681601881981,0.0814986303449,0.0,-8.34562587738,1.0,0,0.512499988079,3,70.0
1618582123247189676,986,1618582123244593399,,-0.0476947277784,0.0,0.694552123547,0.0,0.0,0.0,0.680246412754,0.113312356174,0.0675546079874,-7.94646978378,1.0,0,0.512499988079,3,70.0
1618582123278297677,987,1618582123277924100,,-0.0473074279726,0.0,0.695103466511,0.0,0.0,0.0,0.699544906616,0.119516894221,0.0,-8.09306335449,1.0,0,0.512499988079,3,70.0
1618582123311723047,988,1618582123311421810,,-0.04695129022,0.0,0.69483757019,0.0,0.0,0.0,0.699132442474,0.104047037661,0.0,-8.03947925568,1.0,0,0.512499988079,3,70.0
1618582123344886814,989,1618582123344541414,,-0.0467094443738,0.0,0.695020973682,0.0,0.0,0.0,0.712301135063,0.121094308794,0.0,-7.95007944107,1.0,0,0.512499988079,3,70.0
1618582123378692956,990,1618582123378358701,,-0.0457301996648,0.0,0.695975482464,0.0,0.0,0.0,0.693485438824,0.147575691342,0.0,-8.20106315613,1.0,0,0.512499988079,3,70.0
1618582123412237314,991,1618582123411960763,,-0.0445051006973,0.0,0.69780921936,0.0331365540624,0.0,0.0,0.655135035515,0.119507566094,-0.20967617631,-8.23640155792,1.0,0,0.512499988079,3,70.0
1618582123445687805,992,1618582123444689302,,-0.0436475723982,0.0,0.697845637798,0.03491987288,0.0,0.0,0.671469151974,0.103180773556,0.0,-7.87042188644,1.0,0,0.512499988079,3,70.0
1618582123478394988,993,1618582123477988087,,-0.0428715832531,0.0,0.697707116604,0.0361022315919,0.0,0.0,0.623360216618,0.092401497066,-0.180026963353,-7.92962741852,1.0,0,0.512499988079,3,70.0
1618582123512776328,994,1618582123512435446,,-0.0419008247554,0.0,0.697816371918,0.0370389595628,0.0,0.0,0.520715475082,0.114449478686,0.0,-7.75591039658,1.0,0,0.512499988079,3,70.0
1618582123545077166,995,1618582123544573101,,-0.0408194549382,0.0,0.697578191757,0.038911242038,0.0,0.0,0.507083714008,0.116935372353,-0.18304669857,-8.07085990906,1.0,0,0.512499988079,3,70.0
1618582123578225851,996,1618582123577829498,,-0.0394581146538,0.0,0.698397397995,0.0414675846696,0.0,0.0,0.520987451077,0.119440540671,-0.0725110396743,-7.77797031403,1.0,0,0.512499988079,3,70.0
1618582123610537467,997,1618582123610242113,,-0.0379354916513,0.0,0.699742615223,0.0444185733795,-0.0320358946919,0.0,0.495936095715,0.11949454248,-0.070777066052,-7.81393432617,1.0,0,0.512499988079,3,70.0
1618582123645690368,998,1618582123645346341,,-0.0360302850604,0.0,0.699255168438,0.0474000796676,-0.0321768820286,0.0,0.39840182662,0.111464142799,-0.255297839642,-8.20507526398,1.0,0,0.512499988079,3,70.0
1618582123678788407,999,1618582123678497997,,-0.0343672558665,0.0,0.697815358639,0.0480174236,-0.032075393945,0.0,0.307124704123,0.0564377829432,-0.218250796199,-7.99255609512,1.0,0,0.512499988079,3,70.0
1618582123713755988,1000,1618582123713305672,,-0.0330405123532,0.0,0.697739779949,0.0470316596329,-0.0323774926364,0.0,0.319735050201,0.0,-0.114609450102,-7.73829364777,1.0,0,0.512499988079,3,70.0
1618582123743841693,1001,1618582123743587286,,-0.0319890603423,0.0,0.698989629745,0.046281915158,-0.0325854532421,0.0,0.347874909639,-0.0427519902587,-0.173831015825,-7.8918170929,1.0,0,0.512499988079,3,70.0
1618582123779702913,1002,1618582123779394930,,0.0,0.0,0.698500871658,0.0471017248929,-0.0335172526538,0.0,0.305361866951,-0.0507319122553,-0.240065827966,-8.04237937927,1.0,0,0.512499988079,3,70.0
1618582123810681278,1003,1618582123810296230,,0.0,0.0,0.699206829071,0.0488587580621,-0.0345269665122,0.0,0.233729109168,0.0,-0.137555092573,-7.7585234642,1.0,0,0.512499988079,3,70.0
1618582123846533445,1004,1618582123846034886,,0.0,0.0,0.699482440948,0.050269972533,-0.0354780144989,0.0,0.1149860695,0.0,-0.162174135447,-7.79857301712,1.0,0,0.512499988079,3,70.0
1618582123878469791,1005,1618582123878216526,,0.0,0.0,0.70047134161,0.0492935292423,-0.0364701077342,0.0,0.0,-0.0860421508551,-0.120774507523,-7.74252986908,1.0,0,0.512499988079,3,70.0
1618582123912026674,1006,1618582123911651232,,0.0,0.0,0.700667023659,0.0470046699047,-0.0381337553263,0.0,0.0,-0.114565946162,-0.209556177258,-7.91901826859,1.0,0,0.512499988079,3,70.0
1618582123944921744,1007,1618582123944527875,,0.0,0.0,0.699981033802,0.0435284376144,-0.0423310659826,0.0,0.0,-0.101486712694,-0.0442325212061,-7.58379936218,1.0,0,0.512499988079,3,70.0
1618582123977661049,1008,1618582123976975026,,0.0,0.0,0.699431419373,0.0418130643666,-0.0447758361697,0.0,0.0,-0.130036443472,-0.222275614738,-8.00466060638,1.0,0,0.512499988079,3,70.0
1618582124013278652,1009,1618582124012788584,,0.0,0.0,0.700092375278,0.0416208617389,-0.0437217243016,0.0,-0.0599762015045,-0.214919537306,-0.237524807453,-8.03081321716,1.0,0,0.512499988079,3,70.0
1618582124045212831,1010,1618582124044702297,,0.0,0.0,0.702342331409,0.0420741699636,-0.0405106581748,0.0,-0.109833277762,-0.255050271749,-0.171767815948,-7.81921195984,1.0,0,0.512499988079,3,70.0
1618582124078367021,1011,1618582124078006038,,0.0,0.0,0.701341569424,0.0409155040979,-0.0369168408215,0.0,-0.115158013999,-0.22751352191,0.0,-7.4672961235,1.0,0,0.512499988079,3,70.0
1618582124111587541,1012,1618582124111218741,,0.0,0.0,0.701441884041,0.0395485982299,-0.0350041911006,0.0,-0.0876356363297,-0.235027700663,0.0,-7.74339532852,1.0,0,0.512499988079,3,70.0
1618582124145007785,1013,1618582124144586703,,0.0,0.0,0.700533628464,0.0390144735575,-0.0338790901005,0.0,-0.104554973543,-0.285570919514,0.0,-7.80179691315,1.0,0,0.512499988079,3,70.0
1618582124178288664,1014,1618582124177935779,,0.0,0.0,0.697985768318,0.0370828658342,-0.0319613516331,0.0,-0.127226278186,-0.308999329805,-0.100084349513,-8.07564067841,1.0,0,0.512499988079,3,70.0
1618582124211853590,1015,1618582124211474179,,0.0,0.0,0.694706618786,0.0337899811566,0.0,0.0,-0.137362018228,-0.269601881504,-0.120410874486,-7.92388010025,1.0,0,0.512499988079,3,70.0
1618582124245010002,1016,1618582124244689267,,0.0,0.0,0.692275047302,0.0,0.0,0.0,-0.138396292925,-0.209040462971,-0.10952680558,-7.81549835205,1.0,0,0.512499988079,3,70.0
1618582124278412887,1017,1618582124278035507,,0.0,0.0,0.689914226532,0.0,0.0,-0.0333799272776,-0.0886220932007,-0.134026899934,0.0461000166833,-7.62527990341,1.0,0,0.512499988079,3,70.0
1618582124310564544,1018,1618582124310320985,,0.0,0.0,0.688192605972,0.0,0.0,-0.0348056443036,0.0,-0.0765175074339,-0.0842923074961,-8.03881645203,1.0,0,0.512499988079,3,70.0
1618582124348407821,1019,1618582124346764716,,0.0,0.0,0.687782347202,0.0,0.0,0.0,0.0888350605965,-0.06353507936,0.0,-7.89279270172,1.0,0,0.512499988079,3,70.0
1618582124378447718,1020,1618582124378127576,,0.0,0.0,0.689089477062,0.0,0.0,0.0,0.0723086968064,-0.0591316111386,-0.0453078299761,-8.02576732635,1.0,0,0.512499988079,3,70.0
1618582124411631761,1021,1618582124411305012,,0.0,0.0,0.692507088184,0.0,0.0,0.0,0.0554301254451,0.0,-0.134949877858,-8.07029151917,1.0,0,0.512499988079,3,70.0
1618582124445376597,1022,1618582124444992599,,0.0,0.0,0.694907784462,0.0,0.0,0.0,0.111484132707,0.0716438144445,0.0518051087856,-7.55742025375,1.0,0,0.512499988079,3,70.0
1618582124478799080,1023,1618582124477888117,,0.0,-0.0317951142788,0.695220112801,0.0,0.0,0.0,0.20827306807,0.0901241600513,0.0634730160236,-7.82708358765,1.0,0,0.512499988079,3,70.0
1618582124512295029,1024,1618582124511541409,,0.0,-0.0328062362969,0.697519898415,0.0,0.0,0.0,0.223482191563,0.0412547364831,0.0,-7.9810423851,1.0,0,0.512499988079,3,70.0
1618582124544627135,1025,1618582124544267141,,0.0,-0.0337312445045,0.699207305908,0.0,0.0,0.0,0.195186004043,-0.0473086312413,0.0677512362599,-8.02635097504,1.0,0,0.512499988079,3,70.0
1618582124578305949,1026,1618582124577980519,,0.0,-0.0340734645724,0.699783205986,0.0316235870123,0.0,0.0,0.24213668704,-0.0708619579673,0.0633453428745,-7.81404447556,1.0,0,0.512499988079,3,70.0
1618582124611620793,1027,1618582124611232898,,0.0,-0.0343676581979,0.701747298241,0.0338314734399,0.0,0.0,0.291058033705,0.0,0.101523399353,-7.92580032349,1.0,0,0.512499988079,3,70.0
1618582124645140355,1028,1618582124644750084,,0.0,-0.0345543958247,0.705015897751,0.0342290177941,0.0,0.0341347083449,0.224253758788,0.0,0.0465197451413,-8.0017118454,1.0,0,0.512499988079,3,70.0
1618582124678364166,1029,1618582124678040885,,0.0,-0.0352526307106,0.707236528397,0.0346809104085,0.0,0.0375526361167,0.11747328192,-0.0966254323721,0.146470695734,-7.92039680481,1.0,0,0.512499988079,3,70.0
1618582124712732724,1030,1618582124711344119,,0.0,-0.0362054817379,0.707076430321,0.0377843938768,0.0,0.0,0.086951173842,-0.13678202033,-0.0582105964422,-8.19923019409,1.0,0,0.512499988079,3,70.0
1618582124744859405,1031,1618582124744505328,,0.0,-0.0371738933027,0.706345200539,0.0413178354502,0.0,0.0,0.149138212204,-0.0613863691688,0.249107003212,-7.57891559601,1.0,0,0.512499988079,3,70.0
1618582124778444373,1032,1618582124778120248,,0.0,-0.0380806624889,0.706122756004,0.0451762974262,0.0,0.0,0.132145628333,-0.0707151740789,-0.145026579499,-8.46298885345,1.0,0,0.512499988079,3,70.0
1618582124810675952,1033,1618582124810280595,,0.0,-0.0383429005742,0.706041097641,0.046724114567,0.0,0.0,0.0,-0.191397562623,0.107091277838,-7.74243688583,1.0,0,0.512499988079,3,70.0
1618582124846764464,1034,1618582124845831516,,0.0,-0.0383641012013,0.705312848091,0.0462601929903,0.0,0.0,-0.0353208817542,-0.217010065913,0.0755531713367,-7.90964889526,1.0,0,0.512499988079,3,70.0
1618582124878458394,1035,1618582124878219122,,0.0,-0.0388561859727,0.705430567265,0.0458702743053,0.0,0.0,0.0,-0.16579683125,0.0418361909688,-7.97743272781,1.0,0,0.512499988079,3,70.0
1618582124915791853,1036,1618582124912883637,,0.0,-0.0394148752093,0.706489741802,0.0462259352207,0.0,0.0,0.0,-0.165452972054,0.289519101381,-7.69849729538,1.0,0,0.512499988079,3,70.0
1618582124946247097,1037,1618582124945898994,,0.0,-0.0400050655007,0.707013845444,0.0483942329884,0.0,0.0,-0.0481869839132,-0.196113720536,-0.134539619088,-8.49455070496,1.0,0,0.512499988079,3,70.0
1618582124977405980,1038,1618582124976905092,,0.0,-0.0406799949706,0.708970248699,0.0478715524077,0.0,0.0,-0.0671912059188,-0.186558395624,0.206647649407,-7.7405257225,1.0,0,0.512499988079,3,70.0
1618582125011451521,1039,1618582125011134194,,0.0,-0.041409291327,0.709596395493,0.046145580709,0.0,0.0,-0.0763692930341,-0.169399648905,-0.0699113309383,-8.26121330261,1.0,0,0.512499988079,3,70.0
