%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1618582126446588110,0.132391055085,-0.991036898196,0.204481550902,0.0,0.0,14.858020362
1618582126478519460,0.12000587789,-0.992665598667,0.203667200666,0.0,0.0,14.8824384889
1618582126512820639,0.106760644196,-0.994217886397,0.202891056801,0.0,0.0,14.9057110055
1618582126544148218,0.0946150202771,-0.995472948835,0.202263525583,0.0,0.0,14.9245274021
1618582126579398531,0.0808326708521,-0.996705984745,0.201647007627,0.0,0.0,14.9430135681
1618582126611832837,0.0677796545598,-0.997689639449,0.201155180275,0.0,0.0,14.9577609117
1618582126645239443,0.054281782912,-0.998521283984,0.200739358008,0.0,0.0,14.9702292582
1618582126680137742,0.0407437539058,-0.999168244868,0.200415877566,0.0,0.0,14.9799287537
1618582126711726037,0.02797436528,-0.999608334058,0.200195832971,0.0,0.0,14.9865267464
1618582126744106466,0.0151866443754,-0.999884649655,0.200057675172,0.0,0.0,14.99066938
1618582126780106003,0.000788980057268,-0.999999688755,0.200000155623,0.0,0.0,14.992394092
1618582126814002492,-0.012809617946,-0.999917940011,0.200041029995,0.0,0.0,14.9911684823
1618582126844980934,-0.0252003382993,-0.999682219077,0.200158890461,0.0,0.0,14.98763446
1618582126879987298,-0.038772057452,-0.999246946912,0.200376526544,0.0,0.0,14.9811086862
1618582126912136515,-0.0519172720765,-0.998647731801,0.2006761341,0.0,0.0,14.9721250143
1618582126945344461,-0.0654228865277,-0.997848369081,0.201075815459,0.0,0.0,14.9601406496
1618582126980103631,-0.0788801014946,-0.996864447173,0.201567776414,0.0,0.0,14.9453893
1618582127012716333,-0.0918858032624,-0.995733139534,0.202133430233,0.0,0.0,14.9284282848
1618582127045310034,-0.104436324342,-0.994470424238,0.202764787881,0.0,0.0,14.9094971536
1618582127078669174,-0.117696076469,-0.992950269533,0.203524865234,0.0,0.0,14.886706388
1618582127112381942,-0.130482660225,-0.99129919205,0.204350403975,0.0,0.0,14.861952776
1618582127145513316,-0.143561511452,-0.989417433456,0.205291283272,0.0,0.0,14.8337407008
1618582127178967987,-0.156154214385,-0.987416011745,0.206291994128,0.0,0.0,14.8037345884
1618582127212229560,-0.168638090397,-0.985242545166,0.207378727417,0.0,0.0,14.7711491108
1618582127244114115,-0.180631511492,-0.982970995365,0.208514502318,0.0,0.0,14.7370931304
1618582127279985802,-0.19398222999,-0.980223018989,0.209888490505,0.0,0.0,14.6958943728
1618582127312049722,-0.205714812286,-0.977609720384,0.211195139808,0.0,0.0,14.656714758
1618582127346024418,-0.218032795369,-0.974657602747,0.212671198627,0.0,0.0,14.6124554332
1618582127378674111,-0.229834316395,-0.971619911968,0.214190044016,0.0,0.0,14.5669131618
1618582127411849996,-0.2414756614,-0.968412928594,0.215793535703,0.0,0.0,14.5188327882
1618582127445169496,-0.252948717302,-0.965037211401,0.217481394299,0.0,0.0,14.46822269
1618582127479791210,-0.264924300916,-0.96127317835,0.219363410825,0.0,0.0,14.4117908055
1618582127511561214,-0.275691890342,-0.957666882702,0.221166558649,0.0,0.0,14.3577237831
1618582127544943210,-0.286606666345,-0.953783563581,0.22310821821,0.0,0.0,14.2995035144
1618582127578584140,-0.297643201218,-0.94960876051,0.225195619745,0.0,0.0,14.236913202
1618582127611824592,-0.308144632013,-0.94538877409,0.227305612955,0.0,0.0,14.1736454828
1618582127647697466,-0.318739599789,-0.940868632143,0.229565683929,0.0,0.0,14.1058777123
1618582127680368934,-0.329399798565,-0.936033780638,0.231983109681,0.0,0.0,14.0333916906
1618582127712460190,-0.338920491456,-0.931452774736,0.234273612632,0.0,0.0,13.9647114234
1618582127745725982,-0.348506016807,-0.92656878568,0.23671560716,0.0,0.0,13.8914887119
1618582127778800191,-0.357848661512,-0.921523353624,0.239238323188,0.0,0.0,13.8158455827
1618582127812258395,-0.366941914498,-0.91631735767,0.241841321165,0.0,0.0,13.7377952154
1618582127845582118,-0.376043184631,-0.910786626818,0.244606686591,0.0,0.0,13.654876293
1618582127880257486,-0.384866260126,-0.905087439469,0.247456280266,0.0,0.0,13.5694318037
1618582127913403010,-0.393404613722,-0.899220849726,0.250389575137,0.0,0.0,13.4814775509
1618582127945265450,-0.40117495936,-0.893547403644,0.253226298178,0.0,0.0,13.3964189849
1618582127977629264,-0.408682405335,-0.887727560754,0.256136219623,0.0,0.0,13.3091655796
1618582128012528194,-0.416586844643,-0.881195606956,0.259402196522,0.0,0.0,13.2112359236
1618582128045296116,-0.423740583401,-0.874878695238,0.262560652381,0.0,0.0,13.1165302642
1618582128079468723,-0.430802179096,-0.868210938215,0.265894530893,0.0,0.0,13.0165645921
1618582128113138939,-0.437351345777,-0.86158571314,0.26920714343,0.0,0.0,12.9172365759
1618582128145214617,-0.443411011225,-0.855017875356,0.272491062322,0.0,0.0,12.8187689328
